Fecha,Área,Necesidad_Personal,Proyectos_Activos,Rotacion_Empleados,Ausentismo,Horas_Extras,Clima_Laboral
2019-01-01,Operaciones,26,6,9.98,3.01,1.19,7.5
2018-04-01,Marketing,35,6,0.92,2.1,8.12,7.3
2023-12-01,Recursos Humanos,27,14,6.59,12.72,4.07,6.1
2021-04-01,Marketing,27,10,4.65,1.66,4.75,5.0
2022-10-01,IT,34,5,0.01,3.34,8.36,5.3
2018-05-01,Operaciones,24,13,4.78,7.13,2.37,4.1
2021-05-01,Finanzas,18,5,1.53,3.18,2.42,8.8
2021-08-01,Operaciones,37,6,1.69,2.68,7.83,4.1
2022-02-01,Marketing,38,8,7.0,9.69,9.08,5.9
2021-09-01,IT,13,5,4.94,11.96,7.83,7.5
2021-10-01,Marketing,36,3,1.23,0.13,0.71,8.6
2021-03-01,Marketing,27,12,5.05,14.05,0.67,9.8
2022-06-01,Recursos Humanos,28,3,9.04,2.8,5.95,4.3
2022-01-01,Recursos Humanos,24,12,5.81,0.66,9.26,8.1
2023-03-01,Operaciones,21,2,5.31,13.19,4.78,4.7
2021-11-01,IT,22,6,0.82,9.4,2.84,4.2
2022-01-01,Marketing,21,14,8.77,7.85,1.08,7.1
2019-07-01,Marketing,28,13,9.21,3.03,4.76,6.2
2019-05-01,Marketing,12,2,2.3,2.62,1.58,8.8
2022-04-01,Recursos Humanos,35,5,8.26,1.49,6.88,6.1
2021-10-01,IT,18,11,4.66,8.99,5.66,9.9
2022-03-01,Operaciones,26,6,1.7,10.99,1.91,5.8
2018-10-01,IT,15,2,4.8,14.77,3.18,6.7
2020-12-01,Operaciones,37,8,4.64,10.43,2.15,5.5
2018-07-01,Operaciones,13,11,5.45,12.98,1.57,6.0
2021-01-01,Operaciones,23,5,9.39,8.58,5.84,6.1
2020-10-01,IT,24,3,9.53,5.34,8.03,9.1
2023-12-01,Marketing,38,1,7.91,11.37,2.45,9.6
2021-04-01,Operaciones,18,12,3.7,8.9,0.06,4.2
2022-06-01,Finanzas,33,11,5.06,4.18,8.51,7.9
2021-10-01,Operaciones,30,3,7.24,0.43,3.8,5.8
2019-04-01,Finanzas,15,10,7.2,1.75,7.52,5.0
2021-08-01,Marketing,13,14,0.04,14.35,4.42,5.7
2021-08-01,Marketing,16,6,4.58,1.28,3.07,8.6
2018-06-01,Marketing,20,10,1.2,9.96,8.01,5.3
2021-10-01,Finanzas,36,3,3.22,2.48,3.52,6.0
2023-12-01,Recursos Humanos,22,9,4.73,14.16,1.58,4.4
2022-10-01,Recursos Humanos,40,3,6.03,1.57,4.19,6.9
2021-10-01,Marketing,31,4,2.58,6.14,0.89,7.9
2020-08-01,Recursos Humanos,26,12,4.67,12.46,2.47,7.0
