ID_Empleado,Edad,Genero,Departamento,Anios_En_La_Empresa,Ingreso_Mensual,Satisfaccion_Laboral,Balance_Vida_Trabajo,Horas_Extras,Rol_Trabajo,Anios_Desde_Ultima_Promocion,Veces_Entrenamiento_Ano,Rotacion
c2407940-35d3-4694-af68-85ebf9888ce4,21,Male,HR,7,11290,4,1,Yes,Analyst,0,3,No
9b7573b9-4ca6-43c7-8a3a-bf74decb1d15,27,Female,HR,10,12887,2,4,Yes,Manager,7,4,Yes
afda97a8-9f2d-4cd4-8345-f6c26e8f415e,54,Female,IT,19,8051,1,4,Yes,Analyst,7,6,Yes
0dcd8f74-2d2d-488c-bdbf-80584547c3e9,23,Male,Sales,18,11720,4,3,No,Manager,9,3,No
b015e2e1-3b14-4322-96eb-3c022d3a47f1,25,Male,IT,9,6242,2,4,Yes,Manager,3,4,No
8380d200-387f-4bb6-8155-dfba3147ed2f,22,Male,Finance,8,12302,3,2,No,Executive,1,2,No
2a7bb252-6e3f-4b8a-88fe-6d8a611297b4,54,Male,Sales,11,3516,2,1,No,Executive,0,8,No
10796ddb-6318-43d4-984e-0a5e0d8831e8,37,Male,Sales,8,9529,1,1,No,Manager,6,5,No
3514d61b-d2a7-445d-a985-b68f91f6d7bd,47,Male,Marketing,1,3309,1,1,No,Executive,0,1,No
8dad37cf-5df6-4541-8471-0b6986f73c45,31,Male,IT,10,3894,3,2,No,Manager,4,7,No
6656863c-b299-4513-8ec0-56c4f8b90431,26,Female,HR,17,11867,4,1,No,Technician,0,2,No
7ba8e617-8c05-4c91-92d0-eaab98a8beb2,29,Male,HR,13,5219,4,4,Yes,Manager,8,4,No
0f2aee6d-4ce1-4b3e-a284-36b3c93ba59d,31,Male,Marketing,11,6045,1,2,No,Analyst,6,4,No
5e538b6d-8aa3-41df-a6c6-9e7853a6ae8a,46,Male,Finance,1,11407,4,2,No,Executive,4,0,No
726314bb-3b34-4d89-929e-882a3ceb8532,44,Male,IT,6,9504,2,3,No,Analyst,2,1,No
08628e6c-fbd3-46f1-b1e0-a79adfd1d8c7,54,Female,Sales,8,10611,1,3,Yes,Executive,4,9,No
3f97839a-d0f2-495a-b96b-f36423321c68,28,Male,Finance,4,10145,3,4,No,Executive,7,6,No
2d9519e4-df4a-4ba7-8161-17735a4a80c0,49,Male,Marketing,0,4103,2,4,Yes,Manager,1,6,No
fe6af7d0-bcee-4a7c-959d-5c8e4465ad2c,20,Male,Marketing,10,11605,4,4,Yes,Technician,3,4,No
36059a8e-2a8c-4d67-b3e4-7578fdaaedd8,52,Female,IT,13,5299,3,1,No,Engineer,5,1,No
878f64ad-a1d4-46a9-9278-a0599f3db34b,25,Male,Sales,6,9924,2,4,No,Engineer,9,8,No
59fc75f3-fe4f-4919-9e73-7c3f0c943eba,48,Female,Marketing,9,3553,4,2,No,Manager,5,3,No
3b3e7206-32ae-4156-bc16-fd8a825a3260,30,Female,HR,18,4782,2,3,No,Technician,0,4,No
368785bd-fe6b-4071-bfa5-1c68dc1f25ec,49,Male,Marketing,14,8590,1,2,No,Technician,5,7,No
fbf2244a-af20-4e1b-a93a-a995953e0b3b,34,Female,Sales,9,3111,4,4,No,Manager,5,5,No
6a1277d3-3f67-4129-994c-f152c1a90420,34,Male,Sales,11,4295,3,3,No,Engineer,2,7,Yes
56197d10-e32d-4596-816c-f19cc0518605,45,Male,IT,7,11458,2,1,Yes,Manager,7,5,No
439d8ccd-87a5-4d0a-aa31-d05b996f118c,41,Male,HR,1,2937,3,2,No,Manager,1,0,No
46119770-da81-4ae7-88ef-53c84ba5a31f,31,Male,HR,7,5987,1,2,Yes,Analyst,7,8,No
82f04cd5-9bef-4fd2-83ad-a82985867c8e,23,Male,Sales,1,9531,2,1,No,Technician,7,8,No
083dfcdc-6d5d-476c-b838-943f9040b4be,32,Female,Marketing,16,4820,3,3,No,Engineer,7,3,No
198d8d35-4f3d-4777-8609-5491d6857a2f,27,Female,Marketing,10,7557,2,3,Yes,Engineer,8,1,Yes
f36f33ce-0b78-4da2-b6a7-74ae49339872,45,Male,Sales,11,11113,3,2,No,Manager,5,3,No
07bfa5cb-faf0-49e5-ad2d-d63b2d16a0e1,20,Female,IT,15,11837,3,1,Yes,Manager,9,8,No
a2e78a92-d421-40b5-98e3-35680803a80a,29,Male,Sales,4,14614,4,2,No,Analyst,5,2,No
758769c5-54bd-413c-aeb8-07d8a4664fb9,46,Female,Sales,4,7389,2,1,No,Executive,8,7,No
0a7ed295-4804-4c00-b58c-bd6af58b323c,38,Male,Marketing,18,8683,1,4,Yes,Manager,9,3,Yes
d74738ec-5226-48b4-91ea-30ade9fb6715,54,Male,IT,14,14727,3,2,No,Engineer,9,7,No
f33c3ee3-9f1f-46a6-afc9-19e5b52a339d,40,Male,Marketing,1,3509,4,2,No,Analyst,2,6,No
d7f259b7-9125-4b58-9394-961794e9de32,21,Male,IT,6,7609,2,4,No,Executive,1,1,Yes
afdf2869-97ff-43d1-9958-3851a0ca31bd,45,Male,IT,3,7105,2,3,No,Technician,0,0,No
d253f877-1c77-4c0a-8f44-eba27949c3ea,58,Male,HR,11,8767,2,2,No,Manager,9,1,Yes
4753cb7d-fcad-48d7-82cc-3de35564b256,23,Male,HR,14,14945,1,2,Yes,Engineer,7,2,No
1dabda5d-0b0b-4776-91a8-bfc5fe6ea5c5,58,Male,Marketing,8,5975,3,4,Yes,Technician,6,4,No
3f59626d-9d90-4c83-a638-f5f095099d98,41,Male,Sales,8,10615,3,3,No,Analyst,0,6,Yes
6da5d52b-ec93-4bce-9f8a-01c7e9562d73,58,Female,IT,17,12605,4,1,No,Manager,9,6,No
badc079e-68a3-4d26-a571-2efbd5d55676,27,Male,Marketing,2,2922,4,3,No,Engineer,8,1,No
b5fc7421-e60b-479f-84b2-4c35d1b3a3cb,36,Female,IT,9,7816,1,2,No,Executive,0,9,Yes
ab7fa5d1-8b22-4240-b588-43dd42bb7a40,52,Female,HR,16,8825,3,1,No,Technician,7,7,No
4ed05c56-527c-4272-a042-5abc790699c4,35,Female,Marketing,9,7525,1,2,Yes,Technician,1,6,No
eb6664c4-e454-4017-9ba9-0ce910851350,44,Female,Finance,4,12890,4,3,Yes,Technician,8,6,No
30daac3f-3df4-4c7d-8a78-d0ba61bee817,45,Male,IT,19,4045,2,3,No,Engineer,5,1,No
2753c216-08e5-4147-b51f-9fa4b17f719b,56,Male,Marketing,14,2732,3,1,Yes,Technician,8,6,No
67c8e19f-d950-4b02-9099-b54226dfefef,57,Male,Marketing,6,3729,3,4,Yes,Executive,7,7,No
c24e9fed-7c74-465b-81b1-8c0ae766c7b1,46,Male,HR,18,2954,4,4,Yes,Technician,9,1,No
010624d4-f970-44aa-bada-91cb99a7cdb3,20,Male,Marketing,11,6981,2,4,Yes,Analyst,2,5,No
14892a21-9578-407c-94ce-2d170e0c967a,45,Male,IT,9,2558,2,3,Yes,Engineer,3,0,No
d369fe94-7bd4-4ba1-94eb-cf1bfbdf8d68,43,Female,Marketing,10,13307,3,4,Yes,Technician,3,4,No
fb20a91f-00cf-4e6a-9b71-9895fef8d39d,28,Male,Sales,17,2682,3,1,No,Engineer,4,8,No
8196c80a-5b74-4125-aef1-58f0b4d02f77,22,Female,Marketing,6,9620,3,2,No,Technician,7,1,Yes
08a3f647-8481-4268-9b24-1b82b02329b4,36,Female,HR,0,12463,2,3,No,Technician,0,3,No
03a8376e-34c7-4c8d-8dd5-ea284a8bae58,55,Male,IT,7,4125,3,4,No,Analyst,9,2,No
4dcfe331-819e-4a85-a84d-7b8c865faed4,36,Male,Marketing,1,3698,1,2,Yes,Engineer,7,8,No
e7d56d28-b396-46f7-9a7c-f428e189e359,23,Female,Marketing,17,5986,3,3,No,Technician,8,0,Yes
45867673-bf53-4582-ad41-86faffdf1cde,35,Male,HR,5,14152,4,1,No,Executive,3,7,Yes
a7cb1a93-c482-4e86-b55a-efdecfc7befe,53,Female,Marketing,11,4538,1,1,No,Analyst,0,4,No
2bd73374-c45d-4a8c-aa89-7050fbbd8ac4,28,Female,IT,19,5012,2,3,Yes,Engineer,1,0,No
