ID_Empleado,Competencias_Actuales,Rol_Laboral,Puntuacion_Desempeno,Horas_Capacitacion_Ultimo_Ano,Antiguedad_Empresa,Habilidades_Requeridas,Objetivos_Futuros
1,Intermedio,Gerente,72.48779457968861,65,6,Comunicación,Habilidades Transversales
2,Avanzado,Gerente,72.91914201845802,43,3,Liderazgo,Dominio de Ventas
3,Intermedio,Analista,63.344441487430394,3,19,Trabajo en Equipo,Rol de Liderazgo
4,Intermedio,Representante de Ventas,65.335700789403,63,8,Trabajo en Equipo,Habilidades Transversales
5,Intermedio,Desarrollador,64.46908632022802,4,2,Resolución de Problemas,Habilidades Transversales
6,Intermedio,Representante de Ventas,51.16788503198812,47,19,Técnico,Habilidades Transversales
7,Avanzado,Gerente,78.41983057967596,65,15,Comunicación,Habilidades Transversales
8,Avanzado,Analista,64.82193560698565,26,14,Comunicación,Expertise Técnico
9,Intermedio,Analista,70.87155928572815,23,14,Resolución de Problemas,Expertise Técnico
10,Intermedio,Analista,71.98142781066191,55,4,Trabajo en Equipo,Dominio de Ventas
11,Avanzado,Analista,65.13561515380762,44,19,Resolución de Problemas,Expertise Técnico
12,Principiante,Analista,71.34842239749278,67,7,Liderazgo,Dominio de Ventas
13,Principiante,Desarrollador,75.79829958768167,27,16,Trabajo en Equipo,Dominio de Ventas
14,Intermedio,Representante de Ventas,68.04610677017968,4,8,Comunicación,Habilidades Transversales
15,Principiante,Gerente,65.83682528045718,46,15,Técnico,Dominio de Ventas
16,Avanzado,Gerente,68.90090835219743,4,5,Resolución de Problemas,Rol de Liderazgo
17,Intermedio,Analista,84.51612319549116,4,1,Resolución de Problemas,Expertise Técnico
18,Intermedio,Analista,69.32259157074604,47,12,Comunicación,Dominio de Ventas
19,Intermedio,Analista,76.67854687102776,72,9,Trabajo en Equipo,Rol de Liderazgo
20,Intermedio,Especialista RRHH,69.99329730365253,46,19,Trabajo en Equipo,Expertise Técnico
21,Intermedio,Gerente,73.93494750817469,61,18,Trabajo en Equipo,Rol de Liderazgo
22,Principiante,Analista,83.47574017882692,26,7,Técnico,Habilidades Transversales
23,Intermedio,Representante de Ventas,66.02236608836247,3,11,Técnico,Habilidades Transversales
24,Intermedio,Especialista RRHH,97.28085609034382,48,11,Trabajo en Equipo,Expertise Técnico
25,Principiante,Desarrollador,78.57159031243239,64,15,Técnico,Dominio de Ventas
26,Intermedio,Especialista RRHH,77.03938255126893,79,17,Resolución de Problemas,Rol de Liderazgo
27,Principiante,Especialista RRHH,64.51118960309395,60,3,Trabajo en Equipo,Habilidades Transversales
28,Avanzado,Especialista RRHH,81.50276613453421,19,11,Técnico,Dominio de Ventas
29,Intermedio,Representante de Ventas,91.63712756492363,7,13,Resolución de Problemas,Habilidades Transversales
30,Avanzado,Gerente,67.4451099644943,12,6,Resolución de Problemas,Habilidades Transversales
31,Intermedio,Analista,64.960495998741,72,14,Técnico,Dominio de Ventas
32,Avanzado,Representante de Ventas,75.47006559872904,36,11,Trabajo en Equipo,Expertise Técnico
33,Principiante,Representante de Ventas,64.89794916600154,42,13,Trabajo en Equipo,Dominio de Ventas
34,Principiante,Analista,70.48769420802815,55,17,Técnico,Rol de Liderazgo
35,Principiante,Especialista RRHH,83.36558431555719,49,14,Técnico,Expertise Técnico
36,Intermedio,Desarrollador,92.68740953558832,19,14,Liderazgo,Rol de Liderazgo
37,Principiante,Especialista RRHH,83.80609797255377,47,4,Resolución de Problemas,Expertise Técnico
38,Intermedio,Especialista RRHH,66.39717037393856,18,4,Trabajo en Equipo,Habilidades Transversales
39,Intermedio,Gerente,72.23756668341927,68,14,Comunicación,Dominio de Ventas
40,Intermedio,Especialista RRHH,71.50829959893866,16,14,Resolución de Problemas,Rol de Liderazgo
41,Intermedio,Desarrollador,76.00062637993835,27,7,Trabajo en Equipo,Expertise Técnico
42,Principiante,Representante de Ventas,83.8405675031565,35,16,Liderazgo,Habilidades Transversales
43,Intermedio,Especialista RRHH,66.99134813122417,37,14,Resolución de Problemas,Habilidades Transversales
44,Intermedio,Representante de Ventas,96.88013509231934,69,5,Resolución de Problemas,Dominio de Ventas
45,Avanzado,Gerente,64.59316964496352,25,7,Trabajo en Equipo,Dominio de Ventas
46,Intermedio,Desarrollador,66.69389841859233,78,17,Comunicación,Rol de Liderazgo
47,Avanzado,Analista,66.99671742890538,0,15,Técnico,Expertise Técnico
48,Intermedio,Analista,99.60144208565512,1,7,Comunicación,Habilidades Transversales
49,Avanzado,Gerente,91.34070335098323,35,10,Liderazgo,Rol de Liderazgo
50,Principiante,Desarrollador,66.84862194833603,55,18,Resolución de Problemas,Rol de Liderazgo
51,Intermedio,Representante de Ventas,70.39257544294048,34,11,Trabajo en Equipo,Habilidades Transversales
52,Avanzado,Gerente,74.04677003001056,26,14,Resolución de Problemas,Expertise Técnico
53,Principiante,Especialista RRHH,70.18324890594137,66,4,Técnico,Rol de Liderazgo
54,Intermedio,Representante de Ventas,84.00956235808796,55,3,Comunicación,Dominio de Ventas
55,Avanzado,Especialista RRHH,79.90248667527155,45,14,Comunicación,Habilidades Transversales
56,Intermedio,Especialista RRHH,77.0253906490484,19,3,Liderazgo,Habilidades Transversales
57,Principiante,Representante de Ventas,83.19921821432331,7,3,Trabajo en Equipo,Habilidades Transversales
58,Intermedio,Especialista RRHH,79.38931005379995,71,12,Técnico,Expertise Técnico
59,Principiante,Analista,81.72894892844633,25,10,Técnico,Expertise Técnico
60,Avanzado,Representante de Ventas,76.73140130939606,73,18,Trabajo en Equipo,Rol de Liderazgo
61,Principiante,Gerente,92.21770010763751,61,12,Liderazgo,Rol de Liderazgo
62,Principiante,Analista,76.31638244292634,32,4,Técnico,Habilidades Transversales
63,Principiante,Gerente,73.51524538446236,60,19,Liderazgo,Rol de Liderazgo
64,Intermedio,Desarrollador,82.9768702866474,19,19,Trabajo en Equipo,Habilidades Transversales
65,Avanzado,Gerente,80.68074029801927,67,17,Trabajo en Equipo,Dominio de Ventas
66,Principiante,Representante de Ventas,74.79561436719881,28,8,Trabajo en Equipo,Rol de Liderazgo
67,Principiante,Gerente,58.61739368981106,45,11,Técnico,Expertise Técnico
