Años_Experiencia,Edad,Nivel_Educativo,Industria,Departamento,Tasa_Rotación,Crecimiento_Empresa,Demanda_Actual_Talento,Demanda_Futura_Talento,Satisfaccion_Laboral,Genero,Salario_Anual
6.0,32.0,Técnico,Salud,Recursos Humanos,0.1,0.096,7,8,4,Masculino,30000
4.7,31.0,Postgrado,Tecnología,Finanzas,0.058,0.029,25,26,4,Masculino,66000
6.3,21.0,Secundaria,Educación,Operaciones,0.114,0.076,20,23,1,Masculino,23000
8.0,32.0,Universitario,Tecnología,Ventas,0.209,0.02,42,51,3,Femenino,46000
4.5,41.0,Secundaria,Finanzas,Desarrollo,0.122,0.068,30,34,4,Masculino,20000
4.5,25.0,Técnico,Finanzas,Recursos Humanos,0.115,0.078,10,11,3,Masculino,37000
8.2,43.0,Postgrado,Salud,Ventas,0.238,0.087,22,28,5,Femenino,74000
6.5,39.0,Universitario,Salud,Finanzas,0.058,0.076,45,49,4,Femenino,42000
4.1,29.0,Técnico,Educación,Recursos Humanos,0.203,0.093,10,12,4,Masculino,38000
6.1,34.0,Secundaria,Manufactura,Operaciones,0.147,0.057,45,52,4,Femenino,20000
4.1,48.0,Secundaria,Finanzas,Recursos Humanos,0.239,0.071,29,36,1,Masculino,25000
4.1,41.0,Postgrado,Tecnología,Operaciones,0.129,0.043,28,32,5,Otro,60000
5.5,35.0,Técnico,Manufactura,Ventas,0.192,0.011,34,40,2,Otro,37000
1.2,33.0,Técnico,Finanzas,Desarrollo,0.064,0.078,27,29,1,Otro,32000
1.6,36.0,Postgrado,Educación,Recursos Humanos,0.236,0.088,49,62,1,Otro,79000
3.9,31.0,Universitario,Finanzas,Desarrollo,0.119,0.026,47,53,4,Femenino,43000
3.0,18.0,Técnico,Salud,Desarrollo,0.155,0.013,12,13,1,Masculino,37000
5.6,51.0,Postgrado,Tecnología,Recursos Humanos,0.078,0.025,13,14,2,Femenino,68000
3.2,36.0,Técnico,Tecnología,Recursos Humanos,0.239,0.091,10,12,1,Otro,34000
2.2,38.0,Postgrado,Salud,Desarrollo,0.185,0.037,37,44,1,Otro,60000
7.9,35.0,Secundaria,Manufactura,Finanzas,0.061,0.031,37,39,4,Masculino,27000
4.5,29.0,Secundaria,Salud,Finanzas,0.081,0.011,49,53,5,Femenino,21000
5.1,34.0,Técnico,Tecnología,Recursos Humanos,0.13,0.037,11,12,2,Otro,35000
2.2,22.0,Técnico,Educación,Desarrollo,0.093,0.074,46,52,4,Femenino,35000
3.9,53.0,Secundaria,Manufactura,Desarrollo,0.111,0.096,22,25,1,Masculino,26000
5.2,25.0,Universitario,Finanzas,Ventas,0.249,0.038,10,12,2,Masculino,48000
2.7,27.0,Postgrado,Educación,Desarrollo,0.182,0.032,49,58,3,Femenino,60000
5.8,31.0,Universitario,Manufactura,Finanzas,0.234,0.09,41,52,1,Masculino,49000
3.8,45.0,Universitario,Tecnología,Ventas,0.137,0.087,25,29,5,Femenino,47000
4.4,35.0,Universitario,Tecnología,Finanzas,0.192,0.04,30,36,1,Femenino,50000
3.8,25.0,Secundaria,Educación,Operaciones,0.142,0.016,19,21,5,Femenino,24000
8.7,45.0,Técnico,Manufactura,Recursos Humanos,0.116,0.099,48,55,3,Otro,35000
5.0,41.0,Universitario,Finanzas,Operaciones,0.154,0.071,34,40,4,Otro,51000
2.9,39.0,Secundaria,Finanzas,Recursos Humanos,0.135,0.093,15,17,4,Femenino,26000
6.6,41.0,Postgrado,Salud,Finanzas,0.246,0.041,12,15,4,Masculino,66000
2.6,54.0,Técnico,Educación,Finanzas,0.149,0.068,9,10,2,Masculino,30000
5.4,52.0,Postgrado,Manufactura,Operaciones,0.212,0.071,12,14,5,Otro,78000
1.1,30.0,Universitario,Educación,Recursos Humanos,0.183,0.089,9,11,1,Femenino,43000
2.3,48.0,Técnico,Finanzas,Recursos Humanos,0.146,0.099,14,16,2,Otro,39000
5.4,38.0,Universitario,Manufactura,Ventas,0.145,0.02,19,21,2,Femenino,58000
6.5,39.0,Técnico,Tecnología,Desarrollo,0.118,0.067,42,48,1,Masculino,39000
5.3,21.0,Universitario,Tecnología,Ventas,0.071,0.04,7,7,3,Masculino,58000
4.8,34.0,Postgrado,Manufactura,Finanzas,0.202,0.083,45,55,4,Otro,70000
4.4,28.0,Postgrado,Educación,Operaciones,0.234,0.078,14,17,3,Masculino,68000
2.0,42.0,Universitario,Educación,Recursos Humanos,0.094,0.09,11,12,3,Femenino,52000
3.6,44.0,Técnico,Tecnología,Ventas,0.235,0.041,28,35,4,Masculino,35000
4.1,18.0,Postgrado,Tecnología,Operaciones,0.096,0.027,30,33,3,Masculino,78000
7.1,35.0,Técnico,Finanzas,Operaciones,0.156,0.012,38,44,2,Otro,34000
5.7,44.0,Técnico,Manufactura,Desarrollo,0.119,0.033,12,13,1,Femenino,37000
1.5,34.0,Postgrado,Educación,Recursos Humanos,0.073,0.043,43,47,2,Otro,62000
5.6,41.0,Secundaria,Finanzas,Operaciones,0.061,0.095,9,9,2,Otro,24000
4.2,38.0,Secundaria,Educación,Recursos Humanos,0.123,0.054,40,46,5,Masculino,21000
3.6,38.0,Técnico,Tecnología,Ventas,0.059,0.06,47,51,4,Femenino,31000
6.2,33.0,Postgrado,Manufactura,Operaciones,0.071,0.089,30,33,4,Femenino,77000
7.1,25.0,Secundaria,Salud,Operaciones,0.078,0.09,14,15,2,Otro,25000
6.9,26.0,Universitario,Manufactura,Ventas,0.05,0.058,37,39,4,Otro,58000
3.3,41.0,Técnico,Salud,Recursos Humanos,0.081,0.02,40,43,5,Masculino,39000
4.4,35.0,Secundaria,Finanzas,Recursos Humanos,0.165,0.034,35,41,1,Femenino,24000
5.7,34.0,Postgrado,Salud,Operaciones,0.214,0.051,42,52,3,Femenino,67000
7.0,32.0,Postgrado,Salud,Ventas,0.089,0.078,29,32,4,Masculino,64000
4.0,33.0,Técnico,Finanzas,Finanzas,0.066,0.074,49,54,2,Otro,31000
4.6,43.0,Postgrado,Manufactura,Recursos Humanos,0.196,0.068,17,20,4,Femenino,65000
2.8,32.0,Universitario,Finanzas,Finanzas,0.052,0.089,5,5,2,Masculino,57000
2.6,24.0,Universitario,Tecnología,Operaciones,0.197,0.082,40,49,3,Otro,47000
6.6,41.0,Secundaria,Tecnología,Finanzas,0.076,0.098,40,45,4,Masculino,21000
7.7,33.0,Postgrado,Salud,Finanzas,0.096,0.09,28,31,3,Femenino,79000
4.9,35.0,Universitario,Finanzas,Recursos Humanos,0.074,0.028,31,33,2,Otro,43000
7.0,48.0,Técnico,Finanzas,Operaciones,0.099,0.015,22,24,5,Masculino,37000
5.7,35.0,Postgrado,Finanzas,Finanzas,0.21,0.047,19,23,5,Masculino,79000
3.7,37.0,Secundaria,Manufactura,Recursos Humanos,0.077,0.066,21,23,1,Masculino,27000
5.7,26.0,Técnico,Educación,Finanzas,0.249,0.068,33,42,2,Femenino,38000
8.1,33.0,Técnico,Educación,Recursos Humanos,0.115,0.034,9,10,2,Femenino,37000
4.9,40.0,Técnico,Educación,Operaciones,0.234,0.087,15,19,2,Femenino,33000
8.1,23.0,Universitario,Manufactura,Ventas,0.088,0.04,20,22,5,Masculino,45000
0.0,37.0,Técnico,Finanzas,Recursos Humanos,0.088,0.093,38,43,5,Femenino,38000
6.6,36.0,Universitario,Educación,Recursos Humanos,0.163,0.052,21,24,5,Masculino,52000
5.2,35.0,Técnico,Finanzas,Finanzas,0.06,0.011,37,39,4,Masculino,34000
4.4,43.0,Universitario,Salud,Operaciones,0.21,0.025,35,42,4,Masculino,53000
5.2,38.0,Postgrado,Educación,Desarrollo,0.138,0.019,22,25,5,Otro,73000
1.0,47.0,Universitario,Salud,Desarrollo,0.19,0.014,29,34,3,Masculino,57000
4.6,27.0,Universitario,Manufactura,Ventas,0.085,0.074,9,10,4,Femenino,46000
5.7,36.0,Postgrado,Tecnología,Operaciones,0.178,0.027,34,40,4,Masculino,65000
8.0,36.0,Técnico,Manufactura,Recursos Humanos,0.169,0.085,49,59,4,Femenino,32000
4.0,26.0,Postgrado,Manufactura,Desarrollo,0.201,0.034,27,32,4,Otro,75000
3.4,43.0,Técnico,Manufactura,Ventas,0.109,0.013,42,46,1,Otro,37000
4.0,54.0,Universitario,Educación,Operaciones,0.237,0.084,49,62,4,Masculino,58000
6.8,35.0,Técnico,Salud,Ventas,0.242,0.052,22,27,3,Femenino,39000
5.7,39.0,Universitario,Educación,Desarrollo,0.224,0.064,36,45,1,Otro,50000
3.9,36.0,Técnico,Tecnología,Finanzas,0.164,0.04,34,40,4,Otro,33000
6.0,29.0,Universitario,Manufactura,Finanzas,0.134,0.014,33,37,2,Otro,59000
5.2,20.0,Universitario,Finanzas,Operaciones,0.062,0.043,40,43,1,Femenino,41000
6.9,29.0,Secundaria,Tecnología,Ventas,0.239,0.057,13,16,4,Masculino,28000
3.6,24.0,Técnico,Salud,Recursos Humanos,0.24,0.011,27,33,3,Masculino,39000
4.3,49.0,Técnico,Tecnología,Desarrollo,0.054,0.062,7,7,5,Otro,37000
4.2,34.0,Secundaria,Educación,Finanzas,0.121,0.09,26,30,4,Masculino,23000
2.1,32.0,Universitario,Finanzas,Finanzas,0.226,0.03,44,54,2,Otro,52000
5.6,42.0,Universitario,Educación,Ventas,0.066,0.093,49,54,3,Femenino,45000
5.5,26.0,Secundaria,Manufactura,Finanzas,0.089,0.019,35,38,1,Masculino,25000
5.0,29.0,Secundaria,Manufactura,Ventas,0.246,0.084,26,33,3,Femenino,21000
4.5,36.0,Postgrado,Tecnología,Desarrollo,0.219,0.086,15,18,4,Masculino,68000
